"Sample"	"NSlikelihood"	"posterior"	"likelihood"	"prior"	"treeLikelihood.file66a54de85737"	"TreeHeight"	"BirthDeath"	"BDBirthRate"	"BDDeathRate"	"logP.mrca.auto_name_1.."	"mrca.age.auto_name_1."	"clockRate"
"84"	83	-4321.95864302902	-4378.19635838711	-4321.95864302902	-56.2377153580931	-4321.95864302902	14.9992555077149	-61.9493977225833	0.402411724433009	0.520614584778351	5.71168236449019	14.9992555077149	0.347446550673776
"85"	84	-4313.12528592748	-4365.36388702516	-4313.12528592748	-52.238601097678	-4313.12528592748	14.9992555077149	-57.9502834621682	0.279888693639904	0.738941085753429	5.71168236449019	14.9992555077149	0.378956758736181
"86"	85	-4305.57447832773	-4359.3947982312	-4305.57447832773	-53.8203199034689	-4305.57447832773	14.9992555077149	-59.5320022679591	0.285874113803592	0.8319446633155	5.71168236449019	14.9992555077149	0.364942971287564
"87"	86	-4297.34660276281	-4358.59562915257	-4297.34660276281	-61.2490263897525	-4297.34660276281	14.9992555077149	-66.9607087542427	0.141762449455222	0.782483112461799	5.71168236449019	14.9992555077149	0.420878900757171
"88"	87	-4293.04178202842	-4357.05354195433	-4293.04178202842	-64.0117599259132	-4293.04178202842	14.9992555077149	-69.7234422904034	0.214275999019604	0.731188331044914	5.71168236449019	14.9992555077149	0.264537801864798
"89"	88	-4284.86289668737	-4350.72492920832	-4284.86289668737	-65.8620325209505	-4284.86289668737	14.9992555077149	-71.5737148854407	0.271683310065924	0.605878944374829	5.71168236449019	14.9992555077149	0.344226600240358
"90"	89	-4282.53084032623	-4344.06949601027	-4282.53084032623	-61.5386556840355	-4282.53084032623	14.9992555077149	-67.2503380485257	0.257165999470094	0.618172085091864	5.71168236449019	14.9992555077149	0.352626720890859
"91"	90	-4258.38349828379	-4323.78865022791	-4258.38349828379	-65.4051519441195	-4258.38349828379	14.9992555077149	-71.1168343086097	0.474371575162424	0.525887591589576	5.71168236449019	14.9992555077149	0.311625469544955
"92"	91	-4253.79426619663	-4317.162107846	-4253.79426619663	-63.3678416493713	-4253.79426619663	14.9992555077149	-69.0795240138615	0.23472005986285	0.718764628524776	5.71168236449019	14.9992555077149	0.331485899591414
"93"	92	-4251.7907046104	-4318.36116785514	-4251.7907046104	-66.5704632447361	-4251.7907046104	14.9992555077149	-72.2821456092262	0.133205686932101	0.831954219744801	5.71168236449019	14.9992555077149	0.309900592230757
"94"	93	-4247.75586084456	-4316.9416339874	-4247.75586084456	-69.1857731428351	-4247.75586084456	14.9992555077149	-74.8974555073253	0.179438780257409	0.722297291900991	5.71168236449019	14.9992555077149	0.26535340591981
"95"	94	-4229.25126358595	-4299.38904537404	-4229.25126358595	-70.1377817880871	-4229.25126358595	14.9992555077149	-75.8494641525773	0.100503066326917	0.83188346025187	5.71168236449019	14.9992555077149	0.275973929940618
"96"	95	-4219.8269946646	-4289.55368822948	-4219.8269946646	-69.7266935648765	-4219.8269946646	14.9992555077149	-75.4383759293667	0.170159857267359	0.701079381000399	5.71168236449019	14.9992555077149	0.220467128765726
"97"	96	-4183.35348294056	-4251.37616243727	-4183.35348294056	-68.0226794967052	-4183.35348294056	14.9992555077149	-73.7343618611954	0.371522918481838	0.538058215621777	5.71168236449019	14.9992555077149	0.262469803014355
"98"	97	-4173.72889979321	-4245.64768122567	-4173.72889979321	-71.9187814324578	-4173.72889979321	14.9992555077149	-77.630463796948	0.386984996496592	0.43011417565977	5.71168236449019	14.9992555077149	0.296202058368541
"99"	98	-4157.4340472274	-4228.54043196842	-4157.4340472274	-71.1063847410186	-4157.4340472274	14.9992555077149	-76.8180671055088	0.155549174200069	0.870948923310825	5.71168236449019	14.9992555077149	0.274243359415803
"100"	99	-4155.09435308644	-4229.11290865377	-4155.09435308644	-74.0185555673304	-4155.09435308644	14.9992555077149	-79.7302379318206	0.123222033437906	0.842009766729699	5.71168236449019	14.9992555077149	0.254048111617736
"101"	100	-4152.44078455421	-4226.14724270382	-4152.44078455421	-73.7064581496081	-4152.44078455421	14.9992555077149	-79.4181405140983	0.0705031877047711	0.888327991154222	5.71168236449019	14.9992555077149	0.258771781840779
"102"	101	-4145.25664820122	-4222.80357446441	-4145.25664820122	-77.5469262631909	-4145.25664820122	14.9992555077149	-83.2586086276811	0.112117595182419	0.856403170701653	5.71168236449019	14.9992555077149	0.186175224939232
"103"	102	-4141.57950927441	-4221.24164687145	-4141.57950927441	-79.6621375970339	-4141.57950927441	14.9992555077149	-85.373819961524	0.354854189581092	0.45108661233784	5.71168236449019	14.9992555077149	0.204489165967758
"104"	103	-4135.07417468335	-4214.67929274214	-4135.07417468335	-79.605118058793	-4135.07417468335	14.9992555077149	-85.3168004232831	0.210359862854745	0.699255055049429	5.71168236449019	14.9992555077149	0.216032827543434
"105"	104	-4135.05371141371	-4213.92551014661	-4135.05371141371	-78.8717987329008	-4135.05371141371	14.9992555077149	-84.583481097391	0.220224298987055	0.787368979737096	5.71168236449019	14.9992555077149	0.23397457401841
"106"	105	-4133.3968545821	-4215.54077356165	-4133.3968545821	-82.143918979556	-4133.3968545821	14.9992555077149	-87.8556013440461	0.236746072868473	0.574430539919879	5.71168236449019	14.9992555077149	0.201090358284221
"107"	106	-4131.83886252398	-4214.99659923153	-4131.83886252398	-83.1577367075429	-4131.83886252398	14.9992555077149	-88.8694190720331	0.309946740071266	0.297042550515927	5.71168236449019	14.9992555077149	0.159012875031897
